name,time,records,calculations
PyOpenCl GPU,6.04796409607,4000000,100
PyOpenCl GPU,6.02006912231,4000000,100
PyOpenCl GPU,6.04009628296,4000000,100
PyOpenCl GPU,6.02102279663,4000000,100
PyOpenCl GPU,6.02197647095,4000000,100
PyOpenCl GPU,6.02102279663,4000000,100
PyOpenCl GPU,5.98096847534,4000000,100
PyOpenCl GPU,5.95498085022,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
PyOpenCl GPU,5.99598884583,4000000,100
PyOpenCl GPU,6.04605674744,4000000,100
PyOpenCl GPU,6.02293014526,4000000,100
PyOpenCl GPU,6.02507591248,4000000,100
PyOpenCl GPU,6.03890419006,4000000,100
PyOpenCl GPU,6.01196289062,4000000,100
PyOpenCl GPU,6.0408115387,4000000,100
PyOpenCl GPU,6.0031414032,4000000,100
PyOpenCl GPU,6.00099563599,4000000,100
PyOpenCl GPU,6.02006912231,4000000,100
PyOpenCl GPU,6.01696968079,4000000,100
PyOpenCl GPU,6.02006912231,4000000,100
PyOpenCl GPU,6.0670375824,4000000,100
PyOpenCl GPU,6.02197647095,4000000,100
PyOpenCl GPU,6.0338973999,4000000,100
PyOpenCl GPU,6.01005554199,4000000,100
PyOpenCl GPU,6.02006912231,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
PyOpenCl GPU,5.99884986877,4000000,100
PyOpenCl GPU,6.01601600647,4000000,100
PyOpenCl GPU,6.01720809937,4000000,100
PyOpenCl GPU,6.02102279663,4000000,100
PyOpenCl GPU,6.01410865784,4000000,100
PyOpenCl GPU,6.04701042175,4000000,100
PyOpenCl GPU,6.00600242615,4000000,100
PyOpenCl GPU,6.03914260864,4000000,100
PyOpenCl GPU,6.02006912231,4000000,100
PyOpenCl GPU,6.0498714447,4000000,100
PyOpenCl GPU,6.01696968079,4000000,100
PyOpenCl GPU,6.02698326111,4000000,100
PyOpenCl GPU,6.01601600647,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
PyOpenCl GPU,5.99908828735,4000000,100
PyOpenCl GPU,6.19792938232,4000000,100
PyOpenCl GPU,6.04796409607,4000000,100
PyOpenCl GPU,6.02912902832,4000000,100
PyOpenCl GPU,6.02102279663,4000000,100
PyOpenCl GPU,6.01196289062,4000000,100
PyOpenCl GPU,5.99694252014,4000000,100
PyOpenCl GPU,6.00409507751,4000000,100
PyOpenCl GPU,6.01696968079,4000000,100
PyOpenCl GPU,6.00290298462,4000000,100
PyOpenCl GPU,6.03914260864,4000000,100
PyOpenCl GPU,5.99789619446,4000000,100
PyOpenCl GPU,6.04605674744,4000000,100
PyOpenCl GPU,6.03008270264,4000000,100
PyOpenCl GPU,6.13903999329,4000000,100
PyOpenCl GPU,6.03890419006,4000000,100
PyOpenCl GPU,6.03795051575,4000000,100
PyOpenCl GPU,5.9928894043,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
PyOpenCl GPU,5.99098205566,4000000,100
PyOpenCl GPU,6.03103637695,4000000,100
